# T [GeV]  P/T^4
4.13296691e-01  3.72701482e+00
4.14034545e-01  3.73040726e+00
4.14772463e-01  3.73378492e+00
4.15510443e-01  3.73714797e+00
4.16248486e-01  3.74049641e+00
4.16986591e-01  3.74383035e+00
4.17724757e-01  3.74714991e+00
4.18462983e-01  3.75045515e+00
4.19201270e-01  3.75374610e+00
4.19939617e-01  3.75702289e+00
4.20678023e-01  3.76028559e+00
4.21416488e-01  3.76353427e+00
4.22155012e-01  3.76676900e+00
4.22893593e-01  3.76998989e+00
4.23632232e-01  3.77319698e+00
4.24370928e-01  3.77639037e+00
4.25109680e-01  3.77957018e+00
4.25848489e-01  3.78273638e+00
4.26587353e-01  3.78588910e+00
4.27326272e-01  3.78902847e+00
4.28065246e-01  3.79215447e+00
4.28804275e-01  3.79526722e+00
4.29543357e-01  3.79836679e+00
4.30282493e-01  3.80145327e+00
4.31021682e-01  3.80452668e+00
4.31760923e-01  3.80758716e+00
4.32500217e-01  3.81063475e+00
4.33239563e-01  3.81366948e+00
4.33978959e-01  3.81669154e+00
4.34718407e-01  3.81970086e+00
4.35457906e-01  3.82269756e+00
4.36197455e-01  3.82568174e+00
4.36937053e-01  3.82865348e+00
4.37676701e-01  3.83161279e+00
4.38416398e-01  3.83455978e+00
4.39156144e-01  3.83749447e+00
4.39895938e-01  3.84041699e+00
4.40635780e-01  3.84332739e+00
4.41375669e-01  3.84622572e+00
4.42115606e-01  3.84911203e+00
4.42855589e-01  3.85198645e+00
4.43595619e-01  3.85484897e+00
4.44335695e-01  3.85769970e+00
4.45075817e-01  3.86053868e+00
4.45815984e-01  3.86336600e+00
4.46556197e-01  3.86618169e+00
4.47296454e-01  3.86898584e+00
4.48036755e-01  3.87177854e+00
4.48777101e-01  3.87455978e+00
4.49517490e-01  3.87732968e+00
4.50257922e-01  3.88008831e+00
4.50998398e-01  3.88283565e+00
4.51738916e-01  3.88557185e+00
4.52479477e-01  3.88829693e+00
4.53220080e-01  3.89101096e+00
4.53960725e-01  3.89371398e+00
4.54701411e-01  3.89640608e+00
4.55442138e-01  3.89908732e+00
4.56182906e-01  3.90175774e+00
4.56923715e-01  3.90441738e+00
4.57664564e-01  3.90706633e+00
4.58405453e-01  3.90970463e+00
4.59146382e-01  3.91233235e+00
